Python_500,Cython_V1_500,Cython_V2_500,Python_1000,Cython_V1_1000,Cython_V2_1000,Python_1500,Cython_V1_1500,Cython_V2_1500,Python_2000,Cython_V1_2000,Cython_V2_2000,Python_2500,Cython_V1_2500,Cython_V2_2500,Python_3000,Cython_V1_3000,Cython_V2_3000
0.449861,0.335444,0.001626,1.799402,1.340404,0.006818,3.994866,1.442401,0.01381,7.092376,1.538444,0.030518,11.184335,2.397073,0.062215,15.993395,3.508079,0.097954
0.450547,0.328908,0.001094,1.787358,1.305495,0.004806,4.003967,1.423528,0.010883,7.062373,1.544325,0.026032,11.138124,2.40031,0.062314,16.220911,3.668994,0.098038
0.44754,0.311823,0.001098,1.799351,1.323666,0.004918,3.984463,1.483037,0.011443,7.121012,1.523446,0.025235,11.110781,2.410824,0.062106,16.168488,3.488139,0.098263
0.450183,0.327428,0.000989,1.774184,1.322153,0.004859,3.969193,1.478036,0.010601,7.111524,1.531716,0.02566,11.108495,2.394034,0.062694,16.042378,3.44675,0.098818
0.44785,0.30619,0.000988,1.762508,1.313977,0.004838,3.961351,1.47655,0.011013,7.13238,1.536187,0.025251,11.130016,2.407285,0.062955,15.957497,3.446082,0.099501
0.447213,0.32188,0.001116,1.763052,1.259386,0.004948,4.009813,1.506109,0.010519,7.042395,1.556112,0.025181,11.132489,2.416071,0.062332,16.030385,3.46421,0.097783
0.44101,0.324317,0.001052,1.786472,1.293927,0.004683,3.977645,1.453827,0.011096,7.056101,1.534354,0.024234,11.143949,2.39112,0.062925,16.027235,3.498086,0.098578
0.449311,0.317333,0.001038,1.762726,1.326225,0.004829,4.038257,1.46957,0.010817,7.084929,1.533387,0.025035,11.123242,2.394021,0.063136,16.038972,3.687831,0.099853
0.441698,0.304706,0.001062,1.768178,1.27755,0.004904,3.989227,1.458996,0.01062,7.100043,1.535619,0.024669,11.114416,2.386221,0.063401,15.943811,3.485956,0.098741
0.443568,0.323921,0.001087,1.767439,1.287834,0.00484,3.999773,1.461032,0.011178,7.100709,1.537552,0.024312,11.105566,2.387804,0.063017,16.107918,3.446467,0.097466
0.444574,0.328382,0.00099,1.805641,1.304737,0.004786,4.028481,1.361721,0.010854,7.072475,1.53224,0.024453,11.12334,2.388081,0.061999,16.056036,3.444802,0.099335
0.448415,0.297454,0.001047,1.765963,1.329593,0.004885,4.007798,1.408798,0.010721,7.055609,1.533589,0.024946,11.205643,2.397459,0.062458,15.980851,3.459149,0.099046
0.441746,0.317801,0.000957,1.787607,1.344084,0.004949,3.988917,1.470265,0.010972,7.054475,1.533641,0.025917,11.186535,2.396285,0.063228,15.929874,3.438996,0.098439
0.444705,0.315813,0.001073,1.755336,1.317803,0.00486,3.964154,1.490905,0.010612,7.042536,1.532685,0.025008,11.182398,2.397868,0.063228,15.99742,3.442661,0.097604
0.446175,0.320895,0.001055,1.75653,1.339972,0.004849,3.977725,1.46286,0.011103,7.171077,1.534867,0.024842,11.187371,2.386588,0.06216,15.91883,3.447327,0.097614
0.44466,0.322008,0.001047,1.764534,1.328515,0.004933,3.967863,1.467909,0.011126,7.032693,1.532266,0.024849,11.195851,2.415279,0.0619,16.053389,3.450233,0.097576
