1_Million_py,1_Million_cy,2_Million_py,2_Million_cy,3_Million_py,3_Million_cy,4_Million_py,4_Million_cy,5_Million_py,5_Million_cy,6_Million_py,6_Million_cy
0.664428,0.002909,1.334018,0.005641,2.029613,0.00878,2.669665,0.011483,3.353254,0.014847,16.022706,0.078213
0.669089,0.002953,1.336182,0.005772,2.043289,0.008575,2.671557,0.011274,3.364632,0.014774,16.050639,0.068057
0.687837,0.00286,1.339396,0.005761,2.028827,0.008419,2.692952,0.011782,3.352677,0.015092,16.029673,0.077807
0.678421,0.00291,1.340346,0.005841,2.031129,0.008761,2.681843,0.011153,3.357847,0.015106,16.026044,0.078016
0.67128,0.00298,1.340036,0.005743,2.026555,0.008664,2.681789,0.011102,3.350465,0.014392,16.032756,0.078048
0.671518,0.002861,1.34325,0.005751,2.026825,0.008648,2.684033,0.010899,3.347576,0.014311,16.020834,0.070812
0.670554,0.002885,1.335548,0.0056,2.027801,0.008784,2.682263,0.011147,3.348473,0.015092,16.037251,0.077923
0.669275,0.002983,1.338823,0.005912,2.030663,0.008788,2.673569,0.011604,3.348573,0.014367,16.029006,0.0706
0.671382,0.002882,1.341611,0.005783,2.069433,0.008607,2.687146,0.011005,3.347384,0.015002,16.012267,0.077914
0.670759,0.002875,1.340422,0.005727,2.062859,0.008589,2.680441,0.011318,3.345876,0.014912,16.034059,0.077329
0.66885,0.002913,1.343119,0.005879,2.020394,0.008493,2.684143,0.011658,3.359983,0.014529,15.636692,0.065194
0.68926,0.002978,1.339841,0.005864,2.023535,0.008626,2.676897,0.011626,3.350753,0.014723,16.32787,0.070487
0.688118,0.002977,1.338835,0.005717,2.021556,0.008593,2.681381,0.011323,3.399113,0.015485,16.20261,0.073441
0.670177,0.002995,1.341007,0.00596,2.020244,0.008525,2.679613,0.011438,3.365051,0.014253,16.237011,0.074588
0.670654,0.002869,1.342196,0.00588,2.029229,0.008532,2.688841,0.011035,3.351692,0.014303,16.162343,0.070807
0.669957,0.002862,1.336654,0.005871,2.022946,0.008494,2.676759,0.011239,3.364675,0.014143,16.012603,0.06188
0.668007,0.002878,1.338592,0.005789,2.020234,0.008652,2.68362,0.011338,3.373402,0.014039,16.162972,0.071234
0.683867,0.002937,1.337793,0.005843,2.019948,0.008483,2.678091,0.01195,3.358942,0.014521,16.28448,0.07317
0.673096,0.002899,1.343095,0.005625,2.020789,0.008684,2.683999,0.011378,3.360272,0.015367,16.221625,0.074698
0.668726,0.002901,1.341714,0.005677,2.027315,0.00875,2.681484,0.011701,3.345529,0.014085,15.653914,0.075148
0.667079,0.00291,1.340134,0.0057,2.025709,0.008351,2.688112,0.011195,3.363904,0.014709,16.197633,0.074091
0.676037,0.002815,1.335293,0.005913,2.018003,0.008556,2.681721,0.011603,3.358288,0.014869,16.062137,0.073497
0.670684,0.002982,1.340257,0.005816,2.024956,0.008447,2.684236,0.011497,3.364687,0.016138,16.097132,0.071591
0.670945,0.002884,1.341426,0.005717,2.015571,0.008589,2.680931,0.011159,3.367416,0.014979,16.192267,0.07238
0.671805,0.002873,1.340182,0.005736,2.028841,0.008829,2.69484,0.011533,3.360264,0.014729,15.843582,0.048988
0.669761,0.002908,1.378654,0.005893,2.021359,0.008621,2.693754,0.011265,3.364464,0.014022,15.377111,0.061764
0.675787,0.002959,1.340396,0.00566,2.032921,0.008829,2.733222,0.011257,3.350288,0.013995,15.873991,0.057929
0.671814,0.002851,1.33999,0.0059,2.030771,0.008629,2.699247,0.011491,3.358124,0.01523,15.72679,0.073182
0.670894,0.002939,1.335202,0.005716,2.030241,0.008446,2.685975,0.011265,3.352951,0.014054,15.749598,0.073752
0.68012,0.002858,1.347567,0.00556,2.032031,0.008554,2.681519,0.011676,3.345857,0.01514,16.010231,0.068574
